participant_id,design,task1_completed,task2_completed,task3_completed,task4_completed,task5_completed,task1_time,task2_time,task3_time,task4_time,task5_time,total_errors,sus_score,ease_rating,user_role,experience_level,platform_tenure,total_completed,completion_rate,avg_time
1,Sidebar,1,1,1,0,1,2.1010602970593237,16.662904755891873,38.8665929697153,23.25204153105122,25.825707333650136,3,77.68153308787727,3.9567028672634126,Data Analyst,Senior,>1yr,4,80,21.34166137747357
2,Sidebar,0,1,1,1,0,27.403514900967878,41.427160514825474,37.15336273256049,29.35607606903524,31.3941160278126,9,84.16734378168043,3.9414383756259306,Data Analyst,Mid-level,6-12mo,3,60,33.34684604904034
3,Sidebar,1,1,0,1,1,11.915733912512565,25.29886023712679,13.773089357103924,20.374207297855552,37.39137611712801,1,65.74510213683476,2.968329548735457,Business Analyst,Mid-level,>1yr,4,80,21.750653384345366
4,Sidebar,1,1,0,1,1,14.529291511319464,23.070246297066497,55.16842672285029,16.981809051596546,18.86200602483742,5,70.64416492856952,2.514032334013772,Data Analyst,Mid-level,>1yr,4,80,25.722355921534046
5,Sidebar,1,1,1,0,1,5.8054733184415435,44.043211161620846,54.37569163486437,15.269467222500486,26.74816941531098,1,62.87294373255065,3.660120074206438,Data Analyst,Junior,6-12mo,4,80,29.248402550547645
6,Sidebar,0,0,0,1,1,10.650507231131659,77.9530476841462,28.38002982373321,19.62573932658962,11.167378982691915,2,75.95978646850826,3.862277826871654,Product Manager,Mid-level,6-12mo,2,40,29.555340609658515
7,Sidebar,0,0,1,1,1,12.139866797772072,16.063958264197993,35.153862892026794,14.521816913784107,30.935191498665024,2,80.01097572106698,4.0939754581167564,Business Analyst,Senior,>1yr,3,60,21.7629392732892
8,Sidebar,1,1,1,1,0,13.913155231897157,9.53072684032949,48.5697870991491,14.816676654219687,28.519051486616256,4,86.91267450206848,3.222431874677133,Business Analyst,Senior,>1yr,4,80,23.069879462442337
9,Sidebar,1,1,0,0,0,11.475461236587341,52.723006322749725,47.11988043958896,14.304777021366244,17.968908015730864,4,93.82216719600304,3.843694798611968,Product Manager,Mid-level,6-12mo,2,40,28.718406607204628
10,Sidebar,1,0,0,0,1,5.114198389117963,17.797011934237755,29.895467503787224,8.407983892238192,8.173512543702063,1,72.87715901834211,4.085484082485898,Data Analyst,Mid-level,<6mo,2,40,13.87763485261664
11,Sidebar,1,1,0,0,1,27.56899510744308,11.653233233087112,100.52158809799569,35.53534158041818,40.44533496678347,0,68.26561622165902,3.7570507103214683,Data Analyst,Mid-level,6-12mo,3,60,43.1448985971455
12,Sidebar,0,1,0,0,1,3.401670291283321,56.61002919473022,55.26466897206117,20.386081157059724,19.375741393554993,0,79.064304602814,4.4708191890168125,Data Analyst,Mid-level,>1yr,2,40,31.007638201737887
13,Sidebar,1,0,1,1,0,5.199076452244269,49.945002845202566,141.51155240263552,11.885320810436484,36.31115397802434,3,74.01891672696465,2.6032929908029723,Product Manager,Senior,<6mo,3,60,48.97042129770864
14,Sidebar,1,1,0,1,1,1.5338686283730252,31.83871150224229,55.51435599308062,5.2396840271314264,66.00508878110448,2,87.87721262190082,3.6896618933972407,Data Analyst,Junior,>1yr,4,80,32.02634178638637
15,Sidebar,1,1,0,1,0,16.572368184262295,6.552085276794613,71.17000941116301,34.68015720723703,45.488676937039216,2,73.37513122292992,3.9111218446145832,Product Manager,Senior,>1yr,3,60,34.89265940329923
16,TopBar,1,1,1,1,0,32.76284532169168,24.070103057013156,30.323601945645464,24.00619150285279,23.532117288580032,0,87.52106176865574,4.213207630217051,Data Analyst,Mid-level,<6mo,4,80,26.938971823156624
17,TopBar,0,1,0,1,0,9.61919724924556,19.677393337521348,93.89166150372557,28.27290973572156,25.505825961970807,0,71.37758772300539,3.1622661204232836,Data Analyst,Junior,>1yr,2,40,35.393397557636966
18,TopBar,0,0,1,1,0,0.9227508958777905,19.06038007489043,62.10955734094889,28.647803038313437,8.765530418899404,3,85.7613136485574,4.9031859440686905,Data Analyst,Senior,>1yr,2,40,23.901204353785992
19,TopBar,1,1,0,1,1,5.427692667781944,13.117077858812324,87.97138716470195,1.8890836896391503,16.736035620248092,3,73.66309365076488,3.6889452309904924,Data Analyst,Senior,>1yr,4,80,25.028255400236695
20,TopBar,1,0,0,1,1,2.6477196303592203,27.84028201338284,52.5817723840943,5.79154244588508,51.34641464662317,2,88.61118993035618,3.982326727783844,Product Manager,Senior,<6mo,3,60,28.041546224068924
21,TopBar,1,1,1,1,1,10.242152334603285,14.593394149546462,92.09609695660117,27.259516837182105,9.900180038931355,2,76.10556673477804,3.207660491423389,Product Manager,Mid-level,6-12mo,5,100,30.818268063372876
22,TopBar,1,1,1,0,1,11.740979866559838,21.04122704881112,98.39783870184831,32.59556413345761,64.86337967882345,2,77.63305374311304,2.963526555430306,Business Analyst,Mid-level,<6mo,4,80,45.72779788590007
23,TopBar,1,1,0,1,1,1.6332989193698044,13.459084538949371,49.46382888094685,27.994988611246434,6.546846843429433,5,64.16422097547036,4.934797262318449,Data Analyst,Mid-level,>1yr,4,80,19.81960955878838
24,TopBar,1,1,1,1,1,7.381612624236258,5.969957928709571,121.20047122629279,7.337046563736141,10.798969316073277,1,66.44849967483589,5,Data Analyst,Mid-level,>1yr,5,100,30.53761153180961
25,TopBar,1,1,1,1,1,16.155131752790076,17.115452981326793,50.05239659655653,14.975411556280308,20.041452576029748,1,78.57284365714402,4.737322119848063,Product Manager,Mid-level,6-12mo,5,100,23.66796909259669
26,TopBar,1,1,1,1,0,27.964177733151878,12.747412209365352,87.58131265436484,6.223866373996161,11.90840834882858,2,69.99891514065445,4.188175682413024,Business Analyst,Senior,>1yr,4,80,29.285035463941362
27,TopBar,1,0,1,0,1,4.454184402883889,30.36659487683741,85.59711414024298,8.25717724330955,39.41994567128678,1,77.84288969004935,3.843472669890124,Product Manager,Senior,6-12mo,3,60,33.619003266912124
28,TopBar,1,1,0,1,1,5.440974481007483,25.60047174921108,69.8247782398613,7.975889225844312,32.77887583912281,2,95.12695647994944,3.7137325869802287,Data Analyst,Mid-level,6-12mo,4,80,28.3241979070094
29,TopBar,1,1,1,1,1,15.700118573547112,60.620742765844966,127.11110973603567,6.960091199825315,21.65656296230622,2,58.139136389342966,4.263170632923277,Product Manager,Mid-level,>1yr,5,100,46.409725047511856
30,TopBar,1,1,1,1,0,7.8820933283094154,18.08862540092991,84.91146568517185,24.727224064349862,36.14744674017815,2,80.71580006856296,3.6223531945495,Data Analyst,Mid-level,<6mo,4,80,34.351371043787836
